date,date2,Source,Title,Description,Image,Video,Link
6/8/15,6/8/15,The Korea Herald,First teen MERS patient confirmed,"Seoul confirmed five more MERS-affected hospitals, one death and 23 more cases Monday, bringing the nation's total number of cases to 87 and the death toll to six. Among the newly confirmed patients was a 16-year-old, the first Korean teenager to be diagnosed.",,,http://khnews.kheraldm.com/view.php?ud=20150608001177&md=20150609003031_BL
6/9/15,6/9/15,NYTimes,W.H.O. to Look Into MERS in South Korea,"Keiji Fukuda, the World Health Organization's assistant director general for health security, spoke on Tuesday with experts in the country to investigate the recent outbreak of MERS.","<iframe width=""480"" height=""373"" frameborder=""0"" scrolling=""no"" allowfullscreen=""true"" marginheight=""0"" marginwidth=""0"" id=""nyt_video_player"" title=""New York Times Video - Embed Player"" src=""http://graphics8.nytimes.com/bcvideo/1.0/iframe/embed.html?videoId=100000003730450&playerType=embed""></iframe>","<iframe width=""480"" height=""373"" frameborder=""0"" scrolling=""no"" allowfullscreen=""true"" marginheight=""0"" marginwidth=""0"" id=""nyt_video_player"" title=""New York Times Video - Embed Player"" src=""http://graphics8.nytimes.com/bcvideo/1.0/iframe/embed.html?videoId=100000003730450&playerType=embed""></iframe>",http://www.nytimes.com/video/world/asia/100000003730450/who-to-look-into-mers-in-south-kore.html
6/9/15,6/9/15,NYTimes,"Taiwan Widens Its Travel Alert to All South Korea, Not Only Seoul",The alert issued by Taiwan's Centers for Disease Control also recommended that Taiwanese avoid medical institutions when traveling in South Korea.,,,http://www.nytimes.com/reuters/2015/06/09/world/asia/09reuters-health-mers-taiwan.html
6/9/15,6/9/15,The Korea Herald,First pregnant woman confirmed of MERS,"South Korea confirmed the first case of Middle East respiratory syndrome of a pregnant woman. The woman in her 40s appeared to have been infected with the virus while briefly staying at an emergency room at the Samsung Medical Center, where the 14th confirmed patient was staying. The woman is due to give birth this month and was staying at the hospital's maternity ward.",,,http://khnews.kheraldm.com/view.php?ud=20150609000863&md=20150609153021_BL
6/9/15,6/9/15,NYTimes,Cathay Pacific Bookings to Korea Down on Disease Fear: CEO,"Cathay Pacific Airways Ltd has seen a drop in bookings from Hong Kong to cities in South Korea, where cases of Middle East Respiratory Syndrome (MERS) have recently increased, Chief Executive Ivan Chu said Tuesday.",,,http://www.nytimes.com/reuters/2015/06/09/world/asia/09reuters-health-mers-airlines.html
6/10/15,6/10/15,The Korea Herald,MERS infections exceed 100 in Korea,"Thirteen more cases and two more deaths of Middle East respiratory syndrome were confirmed Wednesday, bringing the total number of infected to 108 and the death toll to nine, as South Koreans hung on to hopes that the virus would start abating this week.",http://res.heraldm.com/content/image/2015/06/10/20150610001444_0.jpg,,http://www.koreaherald.com/view.php?ud=20150610001088
6/12/15,6/12/15,NYTimes,Report Says 2 South Koreans Lied About MERS to Skip Work,South Korea's Yonhap News Agency reported Friday that police charged a 20-year-old saleswoman at a department store for spreading a rumor online that it was hiding an outbreak of MERS among staff. Her boyfriend was charged for helping her post the rumor on Facebook via another user.,,,http://www.nytimes.com/aponline/2015/06/12/world/asia/ap-as-skorea-mers-virus-workers-.html
6/12/15,6/12/15,NYTimes,South Korea Steps Up MERS Fight,Workers sprayed disinfectant in a South Korean market as new cases of Middle East respiratory syndrome continue to be identified.,"<iframe width=""480"" height=""373"" frameborder=""0"" scrolling=""no"" allowfullscreen=""true"" marginheight=""0"" marginwidth=""0"" id=""nyt_video_player"" title=""New York Times Video - Embed Player"" src=""http://graphics8.nytimes.com/bcvideo/1.0/iframe/embed.html?videoId=100000003737588&playerType=embed""></iframe>","<iframe width=""480"" height=""373"" frameborder=""0"" scrolling=""no"" allowfullscreen=""true"" marginheight=""0"" marginwidth=""0"" id=""nyt_video_player"" title=""New York Times Video - Embed Player"" src=""http://graphics8.nytimes.com/bcvideo/1.0/iframe/embed.html?videoId=100000003737588&playerType=embed""></iframe>",http://www.nytimes.com/video/world/asia/100000003737588/south-korea-steps-up-mers-fight.html
6/14/15,6/14/15,NYTimes,"MERS Cases in South Korea Rise to 150 With Five More, One Death","South Korea's health ministry reported five new cases of Middle East Respiratory Syndrome (MERS), taking the total to 150 in an outbreak that is the largest outside Saudi Arabia. The ministry also said a patient infected with the MERS virus had died, the 16th fatality in an outbreak that began in May.",,,http://www.nytimes.com/reuters/2015/06/14/world/asia/14reuters-health-mers-southkorea.html
6/17/15,6/17/15,NBCNews,"Three More Die in South Korea's MERS Outbreak, Death Toll at 23","South Korea's health ministry reported  three more deaths in the country's Middle East Respiratory Syndrome outbreak, bringing the total number of fatalities to 23. The ministry also confirmed three new cases, taking the total to 165 in the outbreak that is the largest outside Saudi Arabia.",http://media1.s-nbcnews.com/j/newscms/2015_25/1080551/477287436_532e5fceb9a5b6699187bcf7f001d40c.nbcnews-fp-760-400.jpg,,http://www.nbcnews.com/storyline/mers-mystery/three-more-die-south-koreas-mers-outbreak-death-toll-23-n377411
6/22/15,6/22/15,NYTimes,Samsung Heir Apologizes for MERS Spread at Samsung Hospital,"Lee Jae-yong, 47, apologized to MERS victims and patients in his first public speech since taking over the Samsung Foundation last month. He succeeded his ailing father in leading the charity foundation that owns Samsung Medical Center. Out of 175 MERS patients in South Korea, 85 were patients, relatives, staff or visitors at the Samsung hospital in Seoul.",http://static01.nyt.com/images/2015/06/24/world/24Korea3-web/24Korea3-web-superJumbo.jpg,,http://www.nytimes.com/aponline/2015/06/22/world/asia/ap-skorea-samsung-mers-apology-.html
6/24/15,6/24/15,The Korea Herald,Park's office snubs calls to apologize over MERS,"The presidential office said Wednesday that it would focus first on combating the Middle East respiratory syndrome, brushing aside the mounting calls from political circles to apologize over the government's poor initial handling of the disease. 'For now, we have to prioritize coping with the MERS outbreak and bringing an end to it,' said a senior presidential official.",http://res.heraldm.com/content/image/2015/06/24/20150624001471_0.jpg,,http://khnews.kheraldm.com/view.php?ud=20150624001134&md=20150625003125_BL
6/26/15,6/26/15,NYTimes,"After MERS, South Korea Authorizes Prison for Quarantine Scofflaws","The new law requires the health authorities to make public certain information about an outbreak of infectious disease, including the names and locations of infected hospitals and the routes taken by exposed patients. The government was criticized for waiting weeks to reveal the names of the hospitals where MERS infections had been reported.",http://static01.nyt.com/images/2015/06/27/world/27Korea-web/27Korea-web-superJumbo-v2.jpg,,http://www.nytimes.com/2015/06/27/world/asia/after-mers-south-korea-authorizes-prison-for-quarantine-scofflaws.html?
